id,toponym,location
1.0,权县,今湖北省荆门市东南
1.0,权口,今湖北省荆门市东南流权城北
3.0,廖国,河南省唐河县西南
3.0,蓼国,河南省固始县东北
4.0,邓,湖北省襄樊市西北
5.0,申国,今河南省南阳市
6.0,吕原,河南省南阳市西
6.0,申,河南省南阳市西
7.0,息县,今河南省息县西南
8.0,商县,今湖北省均县附近
9.0,期思,河南省淮滨县东南期思乡
9.0,蒋国,河南省固始县东北、史灌河以东近淮河南岸
10.0,析,今河南省西峡县
10.0,白羽,析
12.0,庐,湖北省襄阳市
11.0,商密,今河南省淅川县西南
11.0,宜城,今湖北省宜城县东南
13.0,上庸,湖北省竹山县西南
14.0,宛丘,今河南省淮阳县
15.0,沈县,今安徽省临泉县
15.0,沈国,今河南省平舆县北
16.0,城父,河南省襄城县西（即宝丰县东）
16.0,成公乾,城父（成）县
17.0,郧县,今湖北省钟祥县北境
18.0,州来,今安徽省凤台县
18.0,下蔡,州来
19.0,叶县,今河南省叶县南
19.0,许,今河南省许昌市东
20.0,东不羹,河南省舞阳县西北
20.0,西不羹,河南省襄城县东南
21.0,蔡叔始封,河南省修武县以西地带
21.0,蔡仲复封时建都上蔡,河南省上蔡县城关一带
21.0,新蔡县,河南省新蔡县西
21.0,蔡国旧地上蔡,楚县
22.0,白县,河南省息县东北或淮滨县西南
22.0,鄢,河南省漯河市东
22.0,巢,安徽省寿县南
23.0,巢,今六安县东北
23.0,钟离,今安徽省凤阳县东北
24.0,钟离,安徽省凤阳县东北临淮关
25.0,阴县,今湖北省老河口北
26.0,棠县,今江苏省六合县西北
27.0,武城,河南省信阳市东北
28.0,蓝县,今湖北省钟祥县西北
29.0,苦县,今河南省鹿邑县东
29.0,相县,今安徽省濉溪县西北
30.0,荀,山西省新绛县东北
30.0,荀城,河东
31.0,耿,今山西省河津县东南
31.0,魏,今山西省芮城县北
32.0,州,今河南省温县东北
33.0,原,今河南省济源市西北
34.0,温,今河南省温县西南
35.0,阳樊,河南省济源市西南
36.0,欑茅,河南省修武县北
36.0,絺,河南省沁阳市西南
36.0,陉,河南省沁阳市西北
37.0,阳樊,今河南省南阳市
37.0,温,今河南省温县
37.0,原,今河南省原阳县
37.0,州,今河南省巩义市
37.0,陉,今河南省陕县
37.0,鉏之田,今河南省滑县东
39.0,瑕县,今河南省灵宝市西北
40.0,阴地,今河南省卢氏县东北之阴地城
41.0,瓜衍之县,今山西省孝义市北
42.0,邢丘,今河南省温县东北
43.0,长子,今山西省长子县
43.0,纯留,今山西省屯留县东南
44.0,绛,山西省翼城县东南
44.0,新绛,山西省侯马市西
45.0,羽颉,河北省任县东南
45.0,任县,河北省任县东南
46.0,中牟,今河南省鹤壁市西
48.0,邬县,山西省介休市东北
48.0,祁县,山西省祁县东南
48.0,平陵县,山西省文水县东北
48.0,梗阳县,山西省清徐县
48.0,涂水县,山西省榆次市西南
48.0,马首县,山西省寿阳县东南
48.0,孟县,山西省阳曲县东北
49.0,铜鞮,山西省沁县南
49.0,平阳,山西省临汾市西南
49.0,杨,山西省洪洞县东南
50.0,邯郸,今河北省邯郸市
50.0,晋阳,今山西省太原市
51.0,原,今河南省济源市西北
51.0,冀,今山西省河津县东北
52.0,甘县,今河南省洛阳市南
53.0,邽县,今甘肃省天水市
53.0,冀县,今甘肃省甘谷县
53.0,杜县,今陕西省西安市南
53.0,郑县,今陕西省华县
53.0,下邽县,今陕西省渭南市北
53.0,虢县,今陕西省宝鸡县西
54.0,棠县,山东省平度市东南
54.0,临菑,齐国五都之一
55.0,朱方,今江苏省镇江市东南
55.0,卑梁,今安徽省天长市西北
57.0,颍水,河南阳城阳翟
57.0,栎,今阳翟
58.0,临淄,今山东省淄博市临淄北
58.0,薄姑,今山东省博兴县
59.0,高唐,山东省高唐县东
60.0,安平,山东省淄博市东北
60.0,酅邑,山东省淄博市东北
61.0,阿县,今山东省邹城市
61.0,甄城,今山东省甄城县北
62.0,即墨,山东省平度市东南
62.0,阿,山东省阳谷县东北阿城镇
63.0,南武城,山东省平邑县东南故县
64.0,薛,今山东省滕州市南
66.0,蒙,今河南省商丘市东北
67.0,昌城,山东省淄博市东南昌城
68.0,聊城,山东省聊城市西北
70.0,夜邑,山东省莱州市
71.0,盖大夫,山东省沂源县东南
72.0,平陆都,今山东省汶上县北
73.0,平陵县,今山东省济南市历城区境内
75.0,安阳,今山东阳谷东北
76.0,阳都,今山东省沂水县一带
76.0,高密,今山东省高密市
76.0,平阿,今山东省平阴县或者安徽省阜南县
76.0,平陆,今山东省平邑县
77.0,平阳,今山西省临汾市西南
77.0,阳翟,今河南省禹州市
78.0,杨氏县,今山西省洪洞县东南
78.0,长子,今山西省长子县西南
79.0,铜鞮,山西省沁县南
80.0,屯留,今山西省屯留县南
81.0,京,今河南省荥阳市东南
81.0,雍丘,郑城京
83.0,邢丘,今河南省温县东平皋故城
