id,toponym,location
1.0,权县,今湖北省荆门县东南
3.0,蓼国,今河南省唐河县西南
4.0,邓,今湖北省襄樊市西北
5.0,申国,今河南省南阳市
6.0,吕,河南省南阳市西
7.0,息县,今河南省息县西南
8.0,商县,今湖北省均县附近
9.0,期思,今河南省淮滨县东南期思乡
10.0,析,今河南省西峡县
10.0,白羽,今河南省西峡县
10.0,容城,今河南省鲁山县东南
12.0,庐,今湖北省襄樊市西南
11.0,鄀,今湖北省宜城县东南
13.0,上庸,湖北省竹山县西南
14.0,宛丘,今河南省淮阳县
15.0,沈县,安徽省临泉县
16.0,城父,今河南省襄城县西（即宝丰县东）
17.0,郧,今湖北省钟祥县北境
18.0,州来,安徽省凤台县
19.0,叶,今河南省叶县南
20.0,东不羹,今河南省舞阳县西北
20.0,西不羹,今河南省襄城县东南
21.0,Cai,河南省修武县以西地带
21.0,上蔡,河南省上蔡县城关一带
21.0,新蔡,河南省新蔡县西
22.0,白县,今河南省息县东北（或淮滨县西南）
23.0,居巢县,今六安县东北
24.0,钟离,今安徽省凤阳县东北临淮关
25.0,阴县,今湖北省老河口北
26.0,棠县,江苏省六合县西北
27.0,武城,今河南省信阳市东北
28.0,蓝县,今湖北省钟祥县西北
29.0,苦县,今河南省鹿邑县东
29.0,相县,今安徽省濉溪县西北
30.0,荀,山西省新绛县东北
31.0,耿,今山西省河津县东南
31.0,魏,今山西省芮城县北
32.0,州,今河南省温县东北
33.0,原,今河南省济源市西北
34.0,温,今河南省温县西南
35.0,阳樊,河南省济源市西南
36.0,欑茅,今河南省修武县北
36.0,絺,今河南省沁阳市西南
36.0,陉,今河南省沁阳市西北
37.0,阳樊,南阳
37.0,温,南阳
37.0,原,南阳
37.0,州,南阳
37.0,陉,南阳
37.0,鉏,河南省滑县东
39.0,瑕县,今河南省灵宝市西北
40.0,阴地,今河南省卢氏县东北之阴地城
41.0,瓜衍县,今山西省孝义市北
42.0,邢丘,今河南省温县东北
43.0,长子,山西省长子县
43.0,纯留,山西省屯留县东南
44.0,绛,今山西省翼城县东南
44.0,新田,今山西省侯马市西
44.0,新绛,今山西省侯马市西
45.0,任县,今河北省任县东南
46.0,中牟,今河南省鹤壁市西
48.0,邬县,山西省介休市东北
48.0,祁县,山西省祁县东南
48.0,平陵县,山西省文水县东北
48.0,梗阳县,山西省清徐县
48.0,涂水县,山西省榆次市西南
48.0,马首县,山西省寿阳县东南
48.0,盂县,山西省阳曲县东北
49.0,铜鞮,今山西省沁县南
49.0,平阳,今山西省临汾市西南
49.0,杨,今山西省洪洞县东南
50.0,邯郸,河北省邯郸市
51.0,原,今河南省济源市西北
52.0,甘县,今河南省洛阳市南
53.0,邽县,今甘肃省天水市
53.0,冀县,今甘肃省甘谷县
53.0,杜县,今陕西省西安市南
53.0,郑县,今陕西省华县
53.0,下邽县,今陕西省渭南市北
53.0,虢县,今陕西省宝鸡县西
54.0,棠邑,今山东省平度市东南
54.0,临菑,齐都
55.0,朱方,江苏省镇江市东南
55.0,卑梁,安徽省天长市西北
57.0,阳翟,河南阳城阳翟
57.0,栎,阳翟
58.0,临淄,今山东省淄博市临淄北
58.0,薄姑,今山东省博兴县
59.0,高唐,今山东省高唐县东
60.0,安平,山东省淄博市东北
61.0,符离,南
61.0,甘鱼,北
61.0,阿,齐
61.0,甄,今山东省甄城县北
62.0,即墨,山东省平度市东南
62.0,阿,山东省阳谷县东北阿城镇
63.0,南武城,山东省平邑县东南故县
64.0,薛,今山东省滕州市南
66.0,蒙,今河南省商丘市东北
67.0,昌城,山东省淄博市东南
68.0,聊城,山东省聊城市西北
70.0,夜邑,山东省莱州市
71.0,盖大夫,山东省沂源县东南
72.0,平陆,山东省汶上县北
73.0,平陵县,山东省济南市历城区
75.0,安阳,今山东阳谷东北
76.0,阳都,山东省沂水县一带
76.0,高密,高密
76.0,平阿,平阿
76.0,平陆,平陆
77.0,平阳,山西省临汾市西南
78.0,杨氏县,今山西省洪洞县东南
78.0,长子,今山西省长子县西南
79.0,铜鞮,山西省沁县南
80.0,屯留,今山西省屯留县南
81.0,郑邑,今河南省荥阳市东南
83.0,邢丘,今河南省温县东平皋故城
84.0,卢氏,今河南省卢氏县一带
85.0,新城,今河南省伊川县西南
86.0,路,山西省潞城县东北
86.0,涉,河北省涉县西北
86.0,端氏,山西省沁水县东
87.0,修鱼,河南原武县东
88.0,宜阳,今河南省宜阳县西
90.0,皋落,今山西垣曲县东南
92.0,洱阳,汝阳（在今河南商水县附近）
93.0,野王,河南省沁阳市
95.0,仑氏,河南登封县西南
96.0,阳翟,河南省禹州市
97.0,阳人,今河南汝州市西
99.0,格氏县,河南荣阳北
100.0,盂,山西省阳曲县东北
100.0,平陵,山西省文水县东北
100.0,大陵,山西省文水县东北
101.0,梗阳,山西省清徐县
102.0,邬,山西省介休市东北
103.0,涂水,山西省榆次市西南
104.0,邯郸,河北省邯郸市
105.0,祁,今山西省祁县东南
106.0,中牟,今河南省鹤壁市西
107.0,晋阳,山西省太原市西南
108.0,泫氏,山西省高平市
109.0,平邑,山西省大同县东
111.0,番吾,河北省平山县东南
115.0,榆次,山西省榆次市
116.0,蔺,今山西省离石县西
118.0,鄗,今河北省柏乡县北
120.0,代郡,今河北省蔚县东北代王城
122.0,石邑,今河北省获鹿县东南
123.0,云中,今内蒙古自治区托克托县东北
124.0,雁门郡,今山西省右玉县南
124.0,善无,今山西省右玉县南
126.0,南行唐,河北省行唐县东北
127.0,兹氏县,山西省汾阳南
128.0,防陵,今河南安阳西南
131.0,武垣,今河北省肃宁县东南
132.0,元氏,今河北省元氏县西北
133.0,邢县,河北邢台
134.0,新城县,山西省朔州南
135.0,狼孟县,山西省阳曲县
138.0,柏人,河北省隆尧县西
140.0,平原津令,今山东省平原县南
141.0,富昌,内蒙古自治区准格尔旗
142.0,武平,河北省文安县北
144.0,栾,河北省赵县西北南轮城
145.0,温本春秋晋县,河南省温县西南
146.0,少梁,陕西省韩城市西南
147.0,雒阴,今陕西省大荔县西南洛河南岸
147.0,合阳,今陕西省合阳县东南
148.0,邺,河北省临漳县西南
150.0,苦陉,河北省无极县东北
151.0,酸枣,河南省延津县西南
152.0,承匡,河南省睢县西南匡城
153.0,安邑,今山西省夏县西北
153.0,垣,今山西省垣曲县东南
157.0,大梁,今河南省开封市
158.0,绛,今山西省侯马市西
161.0,济阳县,今河南省兰考县东北
162.0,㶏阴,河南省沙河南岸自漯河市以东至周口市一带
163.0,顿丘,今河南浚县西
164.0,阴晋,陕西省华阴市东
166.0,蒲子,今山西隰县
167.0,漆垣,陕西铜川西北
168.0,高奴,陕西延安市东北延河北岸
169.0,皮氏,山西省河津县西
170.0,蒲阪,今山西省永济县西南
172.0,平丘,今河南省封丘县东
173.0,首垣,今河南省长垣县东北
177.0,单父,山东省单县
178.0,高都,山西晋城市
180.0,燕,河南省延津县东北
180.0,虚,河南省延津县东
180.0,长平,河南省西华县东北
180.0,雍丘,河南省杞县
180.0,山阳,河南省焦作市东北
181.0,修武,河南省获嘉县
182.0,龚,河南辉县共城故城
183.0,宅阳县,今河南荥阳东
184.0,郚,今河南许昌、鄢陵一带
186.0,涑[睘阝],今山西西南的涑水边上的一个县
187.0,沮阳,今河北省怀来县东南
187.0,渔阳,今北京市密云县西南
187.0,无终,今天津市蓟县
187.0,阳乐,今辽宁省义县西
188.0,辽西郡,今河北省迁安县西
188.0,令支,今河北省迁安县西
189.0,襄平,辽宁省辽阳市
190.0,昌城,今河北固安县南
191.0,邓,湖北省襄樊市西北
192.0,湖阳,河南省唐河县西南
193.0,竟陵,湖北省潜江市西北
194.0,苦,河南省鹿邑县东
195.0,期思,河南省淮滨县东南期思乡
196.0,寝,安徽省临泉县
197.0,鄀,湖北省宜城市东南
198.0,宛,河南省南阳市
199.0,析,河南省西峡县
200.0,叶县,河南省叶县南
201.0,阴,湖北省老河口市北
202.0,息县,今河南省息县西南
203.0,武城,河南省信阳市东北
204.0,上庸,湖北省竹山县西南
205.0,随县,湖北省随州市
206.0,鄢,湖北省宜城县东南楚王城
207.0,陈县,今河南省淮阳县
208.0,平舆,今河南省平舆县北
209.0,计斤,今山东省胶州市西南
209.0,莒,今山东省莒县
210.0,鲁阳公,今河南省鲁山县
211.0,临沅,湖南省常德市西
212.0,广陵,今江苏省扬州市西北
213.0,居巢,安徽省六安县东北
214.0,吴,江苏省苏州市
215.0,上蔡,今河南省上蔡县城关一带
215.0,新蔡,今河南省新蔡县
215.0,州来,今安徽省凤台县
217.0,钟离,安徽省凤阳县东北临淮关
218.0,朱方,江苏省镇江市东丹徒镇
220.0,襄城县,河南省襄城县
223.0,兰陵,今山东省苍山县西南
224.0,寿春,今安徽省寿县
225.0,上邽,甘肃省天水市
225.5,冀县,今甘肃省甘谷县东
226.0,下邽县,陕西省渭南市北
227.0,杜县,今陕西省西安市南
228.0,华县,陕西省华县
228.0,郑县,京兆尹
229.0,杜,陕西省宝鸡县西
229.0,郑,陕西省宝鸡县西
229.0,虢,陕西省宝鸡县西
231.0,大荔,今陕西省大荔县东
231.0,临晋,今陕西省大荔县东
233.0,频阳县,今陕西省富平县东北
234.0,雍城,陕西省凤翔县西南
234.0,泾阳,泾阳
235.0,籍姑,陕西省韩城市北
235.0,庞,陕西省韩城市东南
236.0,重泉,陕西省蒲城县南
237.0,栎阳,陕西省临潼县东北
238.0,蓝田,陕西省蓝田县西
242.0,高陵,陕西省高陵县
243.0,斄,陕西省武功县西南
243.0,美阳,陕西省武功县西北
243.0,武功,陕西省眉县东
244.0,咸阳,今陕西省咸阳市东
245.0,武城,陕西华县东北
246.0,於商,陕西省丹凤县西北
249.0,陕县,今河南省陕县西南
255.0,义渠,今甘肃省庆阳市西南
256.0,南郑,今陕西省汉中市
258.0,朐衍,今宁夏回族自治区盐池县境
259.0,江州,重庆市嘉陵江北岸
260.0,鱼复县,重庆市奉节县东白帝城
261.0,阆中县,今四川省阆中市
262.0,湔氏县,今四川省松潘县西北
264.0,乌氏,今宁夏回族自治区固原市东南
265.0,成都,今四川省成都市
266.0,郫县,今四川省郫县
267.0,临邛,今四川省邛崃市
268.0,郿,陕西省眉县东北
270.0,武遂,今山西省垣曲县东南
275.0,榆中,今陕西榆林以北、黄河以南的地区
275.0,广衍,勿尔图沟秦汉古城
277.0,定阳,陕西省延安市东南
284.0,梗阳,赵县
290.0,狄道,甘肃省临洮县
293.0,穰,河南省邓州市
294.0,筑阳,今湖北省谷城县东
295.0,枳,今重庆市涪陵区东北
296.0,郢,今湖北省江陵县西北纪南城
299.0,巫县,今重庆市巫山县北
303.0,华阳,河南省新郑市北
304.0,卷,河南省原阳县西南原武西北
307.0,陶,今山东省定陶县
308.0,河南,今河南省洛阳市西
309.0,梁县,河南省汝州市西南
311.0,缑氏,今河南偃师市东南
312.0,纶氏,颍川郡
314.0,宁新中,河南省安阳市南
315.0,郑县,今河南新郑
316.0,曲阳,今安徽省淮南市东南
318.0,毂城,河南省洛阳市西北
318.0,平阴,河南省孟津县东北
318.0,偃师,河南省偃师市东
318.0,巩,河南省巩义西南
319.0,洛阳,洛州洛阳县东北二十六里
324.0,尉氏县,河南省尉氏县
325.0,邘,今河南省沁阳市西北
326.0,安陆,湖北省云梦县
327.0,酸枣,陈留郡
327.0,燕,东郡
327.0,长平,汝南县
327.0,雍丘,陈留郡
327.0,山阳,河内郡
