id,toponym,location,Address,Match Type,Match Result,Match Level,Match Error,Province,City,County,Direction,geometry,X,Y
1.0,权县,湖北省荆门县东南,湖北省荆门县东南,Single,[{'city': 4208}],City,[],['湖北'],['荆门'],['NA'],东南,POINT (112.91904233374284 30.873577420683503),112.91904233374284,30.873577420683503
1.0,权国,湖北省荆门县东南,湖北省荆门县东南,Single,[{'city': 4208}],City,[],['湖北'],['荆门'],['NA'],东南,POINT (112.91904233374284 30.873577420683503),112.91904233374284,30.873577420683503
2.0,那处,权县的东南,权县的东南,Single,[],0,['No Match'],[],[],[],东南,,,
2.0,那口城,权县的东南,权县的东南,Single,[],0,['No Match'],[],[],[],东南,,,
3.0,蓼,今河南省唐河县西南,今河南省唐河县西南,Single,[{'county': 411328}],County,[],['河南'],['南阳'],['唐河'],西南,POINT (112.6930589243854 32.480310935376686),112.6930589243854,32.480310935376686
3.0,湖阳,今河南省固始县东北,今河南省固始县东北,Single,[{'county': 411525}],County,[],['河南'],['信阳'],['固始'],东北,POINT (115.79366438346126 32.351915557944004),115.79366438346126,32.351915557944004
4.0,邓国,湖北省襄樊市西北,湖北省襄樊市西北,Single,[{'province': 42}],Province,[],['湖北'],['NA'],['NA'],西北,POINT (110.94024844251913 32.16669177126137),110.94024844251913,32.16669177126137
4.0,邓县,河南省邓州市,河南省邓州市,Single,[{'county': 411381}],County,[],['河南'],['南阳'],['邓州'],,POINT (112.09151462879211 32.70042143298328),112.09151462879211,32.70042143298328
5.0,申国,今河南省南阳市,今河南省南阳市,Single,[{'city': 4113}],City,[],['河南'],['南阳'],['NA'],,POINT (112.17181874534914 33.04812010799885),112.17181874534914,33.04812010799885
5.0,宛城,今河南省南阳市,今河南省南阳市,Single,[{'city': 4113}],City,[],['河南'],['南阳'],['NA'],,POINT (112.17181874534914 33.04812010799885),112.17181874534914,33.04812010799885
6.0,吕国,今河南省南阳市西,今河南省南阳市西,Single,[{'city': 4113}],City,[],['河南'],['南阳'],['NA'],西,POINT (111.73633134517486 33.08097370664178),111.73633134517486,33.08097370664178
6.0,申国,今河南省新蔡县,今河南省新蔡县,Single,[{'county': 411729}],County,[],['河南'],['驻马店'],['新蔡'],,POINT (114.93042439650982 32.79284167208256),114.93042439650982,32.79284167208256
7.0,息国,今河南省息县西南,今河南省息县西南,Single,[{'province': 41}],Province,[],['河南'],['NA'],['NA'],西南,POINT (112.38335199586187 33.07547364435473),112.38335199586187,33.07547364435473
7.0,申国,今河南省申县,今河南省申县,Single,[{'province': 41}],Province,[],['河南'],['NA'],['NA'],,POINT (113.12381458489415 33.90583689978037),113.12381458489415,33.90583689978037
8.0,商县,今陕西省商县东南之商洛县,今陕西省商县东南之商洛县,Single,[{'city': 6110}],City,[],['陕西'],['商洛'],['NA'],,POINT (109.85194239662201 33.78315509072356),109.85194239662201,33.78315509072356
8.0,商密,今河南省淅川县西南,今河南省淅川县西南,Single,[{'county': 411326}],County,[],['河南'],['南阳'],['淅川'],西南,POINT (111.3489013150585 32.89567168150276),111.3489013150585,32.89567168150276
9.0,期思,今河南省淮滨县东南期思乡,今河南省淮滨县东南期思乡,Single,[{'county': 411527}],County,[],['河南'],['信阳'],['淮滨'],,POINT (115.32510049543883 32.445541582065275),115.32510049543883,32.445541582065275
9.0,蒋国,今河南省淮滨县东南期思乡,今河南省淮滨县东南期思乡,Single,[{'county': 411527}],County,[],['河南'],['信阳'],['淮滨'],,POINT (115.32510049543883 32.445541582065275),115.32510049543883,32.445541582065275
10.0,析县,河南省西峡县,河南省西峡县,Single,[{'county': 411323}],County,[],['河南'],['南阳'],['西峡'],,POINT (111.33467951835274 33.464826080571065),111.33467951835274,33.464826080571065
10.0,白羽,河南省西峡县,河南省西峡县,Single,[{'county': 411323}],County,[],['河南'],['南阳'],['西峡'],,POINT (111.33467951835274 33.464826080571065),111.33467951835274,33.464826080571065
10.0,容城,河南省鲁山县东南,河南省鲁山县东南,Single,[{'county': 410423}],County,[],['河南'],['平顶山'],['鲁山'],东南,POINT (112.970959451863 33.63524269716938),112.970959451863,33.63524269716938
12.0,庐,湖北省襄樊市西南,湖北省襄樊市西南,Single,[{'province': 42}],Province,[],['湖北'],['NA'],['NA'],西南,POINT (109.52278362525777 30.07789907618067),109.52278362525777,30.07789907618067
12.0,庐戢,庐县,庐县,Single,[],0,['No Match'],[],[],[],,,,
12.0,庐县,湖北省襄樊市,湖北省襄樊市,Single,[{'province': 42}],Province,[],['湖北'],['NA'],['NA'],,POINT (113.07130359361382 31.151385171454628),113.07130359361382,31.151385171454628
11.0,商密,河南省淅川县西南,河南省淅川县西南,Single,[{'county': 411326}],County,[],['河南'],['南阳'],['淅川'],西南,POINT (111.3489013150585 32.89567168150276),111.3489013150585,32.89567168150276
11.0,宜城,湖北省宜城县东南,湖北省宜城县东南,Single,[{'county': 420684}],County,[],['湖北'],['襄阳'],['宜城'],东南,POINT (112.54872968817955 31.594443674695828),112.54872968817955,31.594443674695828
11.0,鄀,今河南淅川下寺八号楚墓中,今河南淅川下寺八号楚墓中,Single,[{'county': 411326}],County,[],['河南'],['南阳'],['淅川'],,POINT (111.4084641582628 32.97996019624555),111.4084641582628,32.97996019624555
11.0,番,今河南淅川下寺八号楚墓中,今河南淅川下寺八号楚墓中,Single,[{'county': 411326}],County,[],['河南'],['南阳'],['淅川'],,POINT (111.4084641582628 32.97996019624555),111.4084641582628,32.97996019624555
13.0,庸,湖北省竹山县西南,湖北省竹山县西南,Single,[{'county': 420323}],County,[],['湖北'],['十堰'],['竹山'],西南,POINT (110.02967793848985 31.835038804173376),110.02967793848985,31.835038804173376
14.0,宛丘,河南省淮阳县,河南省淮阳县,Single,[{'county': 411603}],County,[],['河南'],['周口'],['淮阳'],,POINT (114.83427319314947 33.6808532217299),114.83427319314947,33.6808532217299
15.0,沈尹,沈县,沈县,Single,[],0,['No Match'],[],[],[],,,,
15.0,沈尹寿,沈县,沈县,Single,[],0,['No Match'],[],[],[],,,,
15.0,沈尹射,沈县,沈县,Single,[],0,['No Match'],[],[],[],,,,
15.0,沈尹赤,沈县,沈县,Single,[],0,['No Match'],[],[],[],,,,
15.0,沈尹戌,沈县,沈县,Single,[],0,['No Match'],[],[],[],,,,
15.0,沈尹朱,沈县,沈县,Single,[],0,['No Match'],[],[],[],,,,
16.0,城父,河南省襄城县西（即宝丰县东）,河南省襄城县西（即宝丰县东）,Single,[{'county': 411025}],County,[],['河南'],['许昌'],['襄城'],西,POINT (113.47257105166725 33.86549012672302),113.47257105166725,33.86549012672302
16.0,成公贾,楚庄王时,楚庄王时,Single,[],0,['No Match'],[],[],[],,,,
17.0,郧国,汉晋云杜县的东南（今湖北省京山、钟祥二县之间）,汉晋云杜县的东南（今湖北省京山、钟祥二县之间）,Single,[],0,['No Match'],[],[],[],东南,,,
17.0,郧县,汉晋江夏郡之竟陵县（今湖北省钟祥县北境）,汉晋江夏郡之竟陵县（今湖北省钟祥县北境）,Single,"[{'county': 350582}, {'county': 420115}]",County,['Multiple Matches'],"['福建', '湖北']","['泉州', '武汉']","['晋江', '江夏']",,,,
18.0,州来,安徽省凤台县,安徽省凤台县,Single,[{'county': 340421}],County,[],['安徽'],['淮南'],['凤台'],,POINT (116.58366822479394 32.778453487255135),116.58366822479394,32.778453487255135
19.0,叶,今河南省叶县南,今河南省叶县南,Single,[{'province': 41}],Province,[],['河南'],['NA'],['NA'],南,POINT (113.34345581508488 32.6592671778409),113.34345581508488,32.6592671778409
19.0,许,今河南省许昌市东,今河南省许昌市东,Single,[{'city': 4110}],City,[],['河南'],['许昌'],['NA'],东,POINT (114.00356960917803 34.02570432708742),114.00356960917803,34.02570432708742
20.0,陈,今河南省舞阳县,今河南省舞阳县,Single,[{'county': 411121}],County,[],['河南'],['漯河'],['舞阳'],,POINT (113.7110591190633 33.57065624825376),113.7110591190633,33.57065624825376
20.0,蔡,今河南省襄城县,今河南省襄城县,Single,[{'county': 411025}],County,[],['河南'],['许昌'],['襄城'],,POINT (113.56219221195806 33.860050741376114),113.56219221195806,33.860050741376114
20.0,不羹,东不羹在今河南省舞阳县西北，西不羹在今河南省襄城县东南,东不羹在今河南省舞阳县西北，西不羹在今河南省襄城县东南,Single,"[{'county': 411025}, {'county': 411121}]",County,['Multiple Matches'],['河南'],"['漯河', '许昌']","['襄城', '舞阳']",东南,,,
21.0,蔡,河南省上蔡县城关一带,河南省上蔡县城关一带,Single,[{'county': 411722}],County,[],['河南'],['驻马店'],['上蔡'],,POINT (114.43567889279541 33.303063368792536),114.43567889279541,33.303063368792536
21.0,蔡,河南省新蔡县西,河南省新蔡县西,Single,[{'county': 411729}],County,[],['河南'],['驻马店'],['新蔡'],西,POINT (114.81566130467922 32.832301356661006),114.81566130467922,32.832301356661006
22.0,白县,今河南省息县东北,今河南省息县东北,Single,[{'province': 41}],Province,[],['河南'],['NA'],['NA'],东北,POINT (114.2408925853659 35.1259759898753),114.2408925853659,35.1259759898753
22.0,白亭,汝阴褒信县西南,汝阴褒信县西南,Single,[],0,['No Match'],[],[],[],西南,,,
22.0,鄢,今河南省漯河市东,今河南省漯河市东,Single,[{'city': 4111}],City,[],['河南'],['漯河'],['NA'],东,POINT (114.00450087102443 33.699766113252736),114.00450087102443,33.699766113252736
22.0,巢,今安徽省寿县南,今安徽省寿县南,Single,[{'province': 34}],Province,[],['安徽'],['NA'],['NA'],南,POINT (117.56613510998999 30.626027625500747),117.56613510998999,30.626027625500747
22.0,巢国,今安徽省桐城县以南,今安徽省桐城县以南,Single,[{'county': 340881}],County,[],['安徽'],['安庆'],['桐城'],南,POINT (116.93379364650234 30.823140315051393),116.93379364650234,30.823140315051393
23.0,巢国,安徽省巢县东北,安徽省巢县东北,Single,[{'province': 34}],Province,[],['安徽'],['NA'],['NA'],东北,POINT (117.76518954679278 32.923234462904105),117.76518954679278,32.923234462904105
23.0,居巢县,今六安县东北,今六安县东北,Single,[{'city': 3415}],City,[],['安徽'],['六安'],['NA'],东北,POINT (116.39834601932587 32.121570977949645),116.39834601932587,32.121570977949645
23.0,巢县,今安徽省桐城县南,今安徽省桐城县南,Single,[{'county': 340881}],County,[],['安徽'],['安庆'],['桐城'],南,POINT (116.93379364650234 30.823140315051393),116.93379364650234,30.823140315051393
24.0,钟离,安徽省凤阳县东北临淮关,安徽省凤阳县东北临淮关,Single,[{'county': 341126}],County,[],['安徽'],['滁州'],['凤阳'],,POINT (117.6495453769205 32.83467915504201),117.6495453769205,32.83467915504201
25.0,阴大夫,湖北省老河口北,湖北省老河口北,Single,[{'county': 420682}],County,[],['湖北'],['襄阳'],['老河口'],北,POINT (111.67915287960474 32.57991280275441),111.67915287960474,32.57991280275441
25.0,阴县,湖北省老河口北,湖北省老河口北,Single,[{'county': 420682}],County,[],['湖北'],['襄阳'],['老河口'],北,POINT (111.67915287960474 32.57991280275441),111.67915287960474,32.57991280275441
26.0,棠县,江苏省六合县西北,江苏省六合县西北,Single,[{'county': 320116}],County,[],['江苏'],['南京'],['六合'],西北,POINT (118.71752407656504 32.498889905780764),118.71752407656504,32.498889905780764
27.0,武城,河南省信阳市东北,河南省信阳市东北,Single,[{'city': 4115}],City,[],['河南'],['信阳'],['NA'],东北,POINT (115.39159126051227 32.36658840647766),115.39159126051227,32.36658840647766
27.0,春秋原属申地,河南省南阳市北,河南省南阳市北,Single,[{'city': 4113}],City,[],['河南'],['南阳'],['NA'],北,POINT (112.12320534830717 33.41761455282723),112.12320534830717,33.41761455282723
27.0,楚武城,河南省南阳市北,河南省南阳市北,Single,[{'city': 4113}],City,[],['河南'],['南阳'],['NA'],北,POINT (112.12320534830717 33.41761455282723),112.12320534830717,33.41761455282723
28.0,蓝县,成臼附近,成臼附近,Single,[],0,['No Match'],[],[],[],,,,
28.0,蓝田,钟祥县西北,钟祥县西北,Single,[{'county': 420881}],County,[],['湖北'],['荆门'],['钟祥'],西北,POINT (112.37189480732293 31.431744100521637),112.37189480732293,31.431744100521637
29.0,苦县,河南省鹿邑县东,河南省鹿邑县东,Single,[{'county': 411628}],County,[],['河南'],['周口'],['鹿邑'],东,POINT (115.48040847576172 33.91043560581133),115.48040847576172,33.91043560581133
29.0,相县,安徽省濉溪县西北,安徽省濉溪县西北,Single,[{'county': 340621}],County,[],['安徽'],['淮北'],['濉溪'],西北,POINT (116.57588881152267 33.823552352605766),116.57588881152267,33.823552352605766
30.0,荀,山西省新绛县东北,山西省新绛县东北,Single,[{'county': 140825}],County,[],['山西'],['运城'],['新绛'],东北,POINT (111.20247282747283 35.707862053057),111.20247282747283,35.707862053057
30.0,郇,山西省新绛县东北,山西省新绛县东北,Single,[{'county': 140825}],County,[],['山西'],['运城'],['新绛'],东北,POINT (111.20247282747283 35.707862053057),111.20247282747283,35.707862053057
31.0,耿,山西省河津县东南,山西省河津县东南,Single,[{'county': 140882}],County,[],['山西'],['运城'],['河津'],东南,POINT (110.7599363290082 35.58005417864533),110.7599363290082,35.58005417864533
31.0,魏,山西省芮城县北,山西省芮城县北,Single,[{'county': 140830}],County,[],['山西'],['运城'],['芮城'],北,POINT (110.66919711236908 34.77537845002612),110.66919711236908,34.77537845002612
32.0,州,河南省温县东北,河南省温县东北,Single,[{'province': 41}],Province,[],['河南'],['NA'],['NA'],东北,POINT (114.2408925853659 35.1259759898753),114.2408925853659,35.1259759898753
32.0,温,河南省温县,河南省温县,Single,[{'province': 41}],Province,[],['河南'],['NA'],['NA'],,POINT (113.12381458489415 33.90583689978037),113.12381458489415,33.90583689978037
32.0,原,河南省温县,河南省温县,Single,[{'province': 41}],Province,[],['河南'],['NA'],['NA'],,POINT (113.12381458489415 33.90583689978037),113.12381458489415,33.90583689978037
32.0,陉,河南省温县,河南省温县,Single,[{'province': 41}],Province,[],['河南'],['NA'],['NA'],,POINT (113.12381458489415 33.90583689978037),113.12381458489415,33.90583689978037
33.0,原,河南省济源市西北,河南省济源市西北,Single,[{'county': 419001}],County,[],['河南'],['直辖级行政单位'],['济源'],西北,POINT (112.24865016245404 35.16917817701757),112.24865016245404,35.16917817701757
33.0,温,未提及,未提及,Single,[],0,['No Match'],[],[],[],,,,
33.0,樊,未提及,未提及,Single,[],0,['No Match'],[],[],[],,,,
33.0,隰郕,未提及,未提及,Single,[],0,['No Match'],[],[],[],,,,
33.0,楼茅,未提及,未提及,Single,[],0,['No Match'],[],[],[],,,,
33.0,向,未提及,未提及,Single,[],0,['No Match'],[],[],[],,,,
33.0,盟,未提及,未提及,Single,[],0,['No Match'],[],[],[],,,,
33.0,州,未提及,未提及,Single,[],0,['No Match'],[],[],[],,,,
33.0,陉,未提及,未提及,Single,[],0,['No Match'],[],[],[],,,,
33.0,怀,未提及,未提及,Single,[],0,['No Match'],[],[],[],,,,
34.0,温,河南省温县西南,河南省温县西南,Single,[{'province': 41}],Province,[],['河南'],['NA'],['NA'],西南,POINT (112.38335199586187 33.07547364435473),112.38335199586187,33.07547364435473
35.0,阳樊,河南省济源市西南,河南省济源市西南,Single,[{'county': 419001}],County,[],['河南'],['直辖级行政单位'],['济源'],西南,POINT (112.25871332697655 35.0338132617584),112.25871332697655,35.0338132617584
36.0,欑茅,河南省修武县北,河南省修武县北,Single,[{'county': 410821}],County,[],['河南'],['焦作'],['修武'],北,POINT (113.3294711579739 35.424176774497866),113.3294711579739,35.424176774497866
36.0,絺,河南省沁阳市西南,河南省沁阳市西南,Single,[{'county': 410882}],County,[],['河南'],['焦作'],['沁阳'],西南,POINT (112.81423673236438 35.0805427573925),112.81423673236438,35.0805427573925
36.0,陉,河南省沁阳市西北,河南省沁阳市西北,Single,[{'county': 410882}],County,[],['河南'],['焦作'],['沁阳'],西北,POINT (112.82207243327667 35.1899388821775),112.82207243327667,35.1899388821775
37.0,阳樊,南阳,南阳,Single,[{'city': 4113}],City,[],['河南'],['南阳'],['NA'],,POINT (112.17181874534914 33.04812010799885),112.17181874534914,33.04812010799885
37.0,温,温县,温县,Single,[{'county': 410825}],County,[],['河南'],['焦作'],['温县'],,POINT (113.04913907377642 34.950776520252376),113.04913907377642,34.950776520252376
37.0,原,原阳,原阳,Single,[{'county': 410725}],County,[],['河南'],['新乡'],['原阳'],,POINT (113.93573852377787 35.02307544697928),113.93573852377787,35.02307544697928
37.0,州,州县,州县,Single,[],0,['No Match'],[],[],[],,,,
37.0,陉,陉县,陉县,Single,[],0,['No Match'],[],[],[],,,,
37.0,鉏,滑县,滑县,Single,[{'county': 410526}],County,[],['河南'],['安阳'],['滑县'],,POINT (114.68738985878632 35.453364984471946),114.68738985878632,35.453364984471946
39.0,瑕,河南省灵宝市西北,河南省灵宝市西北,Single,[{'county': 411282}],County,[],['河南'],['三门峡'],['灵宝'],西北,POINT (110.56884012103086 34.556329794168036),110.56884012103086,34.556329794168036
39.0,瑕县,河南省灵宝市西北,河南省灵宝市西北,Single,[{'county': 411282}],County,[],['河南'],['三门峡'],['灵宝'],西北,POINT (110.56884012103086 34.556329794168036),110.56884012103086,34.556329794168036
40.0,阴地,今河南省卢氏县东北之阴地城,今河南省卢氏县东北之阴地城,Single,[{'county': 411224}],County,[],['河南'],['三门峡'],['卢氏'],,POINT (111.0004383954327 33.98005790891679),111.0004383954327,33.98005790891679
41.0,瓜衍之县,山西省孝义市北,山西省孝义市北,Single,[{'county': 141181}],County,[],['山西'],['吕梁'],['孝义'],北,POINT (111.47384774708357 37.21328035235951),111.47384774708357,37.21328035235951
41.0,瓜城,山西省孝义市北,山西省孝义市北,Single,[{'county': 141181}],County,[],['山西'],['吕梁'],['孝义'],北,POINT (111.47384774708357 37.21328035235951),111.47384774708357,37.21328035235951
42.0,邢丘,河南省温县东北,河南省温县东北,Single,[{'province': 41}],Province,[],['河南'],['NA'],['NA'],东北,POINT (114.2408925853659 35.1259759898753),114.2408925853659,35.1259759898753
42.0,邢侯,河北省邢台市的古邢国,河北省邢台市的古邢国,Single,[{'city': 1305}],City,[],['河北'],['邢台'],['NA'],,POINT (114.82253987107651 37.274786795832874),114.82253987107651,37.274786795832874
43.0,长子,山西省长子县,山西省长子县,Single,[{'county': 140428}],County,[],['山西'],['长治'],['长子'],,POINT (112.74548932043358 36.09314690176834),112.74548932043358,36.09314690176834
43.0,纯留,山西省屯留县,山西省屯留县,Single,[{'county': 140405}],County,[],['山西'],['长治'],['屯留'],,POINT (112.74356974425842 36.371722926534865),112.74356974425842,36.371722926534865
44.0,绛,山西省翼城县东南,山西省翼城县东南,Single,[{'county': 141022}],County,[],['山西'],['临汾'],['翼城'],东南,POINT (111.90592411773997 35.548739989585414),111.90592411773997,35.548739989585414
44.0,绛,山西省侯马市西,山西省侯马市西,Single,[{'county': 141081}],County,[],['山西'],['临汾'],['侯马'],西,POINT (111.32840256273724 35.590361031085344),111.32840256273724,35.590361031085344
45.0,任县,河北省任县东南,河北省任县东南,Single,[{'province': 13}],Province,[],['河北'],['NA'],['NA'],东南,POINT (116.90211093871565 38.376611222714985),116.90211093871565,38.376611222714985
45.0,邢,未mentionedinthetext,未mentionedinthetext,Single,[],0,['No Match'],[],[],[],,,,
45.0,栾,未mentionedinthetext,未mentionedinthetext,Single,[],0,['No Match'],[],[],[],,,,
45.0,鄗,未mentionedinthetext,未mentionedinthetext,Single,[],0,['No Match'],[],[],[],,,,
45.0,逆,未mentionedinthetext,未mentionedinthetext,Single,[],0,['No Match'],[],[],[],,,,
45.0,阴人,未mentionedinthetext,未mentionedinthetext,Single,[],0,['No Match'],[],[],[],,,,
45.0,盂,未mentionedinthetext,未mentionedinthetext,Single,[],0,['No Match'],[],[],[],,,,
45.0,壶口,未mentionedinthetext,未mentionedinthetext,Single,[],0,['No Match'],[],[],[],,,,
46.0,中牟,河南省鹤壁市西,河南省鹤壁市西,Single,[{'city': 4106}],City,[],['河南'],['鹤壁'],['NA'],西,POINT (114.1725383820197 35.747500848241565),114.1725383820197,35.747500848241565
46.0,中牟,河南省中牟县东,河南省中牟县东,Single,[{'county': 410122}],County,[],['河南'],['郑州'],['中牟'],东,POINT (114.07966945428443 34.71724675085047),114.07966945428443,34.71724675085047
48.0,邬县,山西省介休市东北,山西省介休市东北,Single,[{'county': 140781}],County,[],['山西'],['晋中'],['介休'],东北,POINT (112.07477141384096 37.07439019662411),112.07477141384096,37.07439019662411
48.0,祁县,山西省祁县东南,山西省祁县东南,Single,[{'province': 14}],Province,[],['山西'],['NA'],['NA'],东南,POINT (112.64187264646688 36.390949605828496),112.64187264646688,36.390949605828496
48.0,平陵县,山西省文水县东北,山西省文水县东北,Single,[{'county': 141121}],County,[],['山西'],['吕梁'],['文水'],东北,POINT (112.02127509577322 37.50193460664111),112.02127509577322,37.50193460664111
48.0,梗阳县,山西省清徐县,山西省清徐县,Single,[{'county': 140121}],County,[],['山西'],['太原'],['清徐'],,POINT (112.2845892641352 37.61884260531369),112.2845892641352,37.61884260531369
48.0,涂水县,山西省榆次市西南,山西省榆次市西南,Single,[{'county': 140702}],County,[],['山西'],['晋中'],['榆次'],西南,POINT (112.71009031377348 37.580502346661085),112.71009031377348,37.580502346661085
48.0,马首县,山西省寿阳县东南,山西省寿阳县东南,Single,[{'county': 140725}],County,[],['山西'],['晋中'],['寿阳'],东南,POINT (113.23133055966106 37.67516179636428),113.23133055966106,37.67516179636428
48.0,孟县,山西省阳曲县东北,山西省阳曲县东北,Single,[{'county': 140122}],County,[],['山西'],['太原'],['阳曲'],东北,POINT (112.93071204824423 38.2796541976855),112.93071204824423,38.2796541976855
49.0,铜鞮,山西省沁县南,山西省沁县南,Single,[{'province': 14}],Province,[],['山西'],['NA'],['NA'],南,POINT (112.09945586242732 36.112284626374795),112.09945586242732,36.112284626374795
49.0,平阳,山西省临汾市西南,山西省临汾市西南,Single,[{'city': 1410}],City,[],['山西'],['临汾'],['NA'],西南,POINT (110.95940596277902 35.870585002971154),110.95940596277902,35.870585002971154
49.0,杨,山西省洪洞县东南,山西省洪洞县东南,Single,[{'county': 141024}],County,[],['山西'],['临汾'],['洪洞'],东南,POINT (111.76632294684723 36.20937614108381),111.76632294684723,36.20937614108381
